BHK,TYPE,AREA,C_STATUS,SQ_FT,CITY,PRICE
2,Apartment,Paldi,Ready to move,1045,Ahmedabad,4976
2,Apartment,Satellite,Ready to move,900,Ahmedabad,5555
2,Apartment,Satellite,Ready to move,1188,Ahmedabad,5723
2,Apartment,Satellite,Ready to move,2106,Ahmedabad,5223
3,Apartment,Bopal,Ready to move,1755,Ahmedabad,3988
3,Apartment,Satellite,Ready to move,1725,Ahmedabad,6376
4,Apartment,Ambli,Ready to move,2560,Ahmedabad,4375
2,Apartment,Satellite,Ready to move,1305,Ahmedabad,3678
2,Apartment,Shela,Ready to move,1075,Ahmedabad,4186
4,Apartment,Satellite,Ready to move,3915,Ahmedabad,6257
2,Apartment,Makarba,Ready to move,1125,Ahmedabad,3555
3,Apartment,Vastrapur,Ready to move,2050,Ahmedabad,6585
3,Apartment,Prahlad Nagar,Ready to move,1665,Ahmedabad,5705
2,Apartment,Satellite,Ready to move,1170,Ahmedabad,6153
2,Apartment,Satellite,Ready to move,1600,Ahmedabad,4375
2,Apartment,Vastrapur,Ready to move,1323,Ahmedabad,5139
1,Apartment,Jodhpur Village,Ready to move,1125,Ahmedabad,5333
1,Apartment,Satellite,Ready to move,1143,Ahmedabad,6124
3,Apartment,Jodhpur,Ready to move,1692,Ahmedabad,5614
